(2026-02-10 16:06:10,840) | excel_cleaning_pipeline | INFO => 'Application environment initialized.'
(2026-02-10 16:10:44,664) | excel_cleaning_pipeline | CRITICAL => 'No files were successfully loaded.'
(2026-02-10 16:10:44,665) | excel_cleaning_pipeline | WARNING => 'Cleaned DataFrame is empty - nothing written '
(2026-02-10 16:10:44,665) | excel_cleaning_pipeline | INFO => 'Rejected DataFrame is empty - nothing written'
(2026-02-10 16:10:44,666) | excel_cleaning_pipeline | WARNING => 'No data available for report generation'
(2026-02-10 16:10:47,912) | excel_cleaning_pipeline | INFO => 'Email sent successfully'
(2026-02-10 16:10:47,913) | excel_cleaning_pipeline | INFO => 'Pipeline finished successfully'
(2026-02-10 16:21:05,119) | excel_cleaning_pipeline | INFO => 'Application environment initialized.'
(2026-02-10 16:21:05,120) | excel_cleaning_pipeline | INFO => 'Pipeline started'
(2026-02-10 16:21:05,121) | excel_cleaning_pipeline | INFO => 'Schema loaded. Required columns: ['id', 'email', 'date', 'amount', 'status', 'notes', 'source_file', 'processed_at'],Aliases: ['order_id', 'customer_email', 'order_date', 'load_time']'
(2026-02-10 16:21:05,123) | excel_cleaning_pipeline | INFO => 'Rules loaded for columns: ['id', 'email', 'amount', 'date', 'status']'
(2026-02-10 16:21:05,125) | excel_cleaning_pipeline | WARNING => 'No Excel files found in input directory.'
(2026-02-10 16:21:05,126) | excel_cleaning_pipeline | INFO => 'Discovered 0 file(s) to process.'
(2026-02-10 16:21:05,126) | excel_cleaning_pipeline | CRITICAL => 'No files were successfully loaded.'
(2026-02-10 16:21:05,127) | excel_cleaning_pipeline | WARNING => 'Cleaned DataFrame is empty - nothing written '
(2026-02-10 16:21:05,128) | excel_cleaning_pipeline | INFO => 'Rejected DataFrame is empty - nothing written'
(2026-02-10 16:21:05,128) | excel_cleaning_pipeline | WARNING => 'No data available for report generation'
(2026-02-10 16:21:05,129) | excel_cleaning_pipeline | WARNING => 'No valid attachments found. Email not sent.'
(2026-02-10 16:21:05,130) | excel_cleaning_pipeline | INFO => 'Pipeline finished successfully'
(2026-02-10 16:22:11,111) | excel_cleaning_pipeline | INFO => 'Application environment initialized.'
(2026-02-10 16:22:11,111) | excel_cleaning_pipeline | INFO => 'Pipeline started'
(2026-02-10 16:22:11,112) | excel_cleaning_pipeline | INFO => 'Schema loaded. Required columns: ['id', 'email', 'date', 'amount', 'status', 'notes', 'source_file', 'processed_at'],Aliases: ['order_id', 'customer_email', 'order_date', 'load_time']'
(2026-02-10 16:22:11,115) | excel_cleaning_pipeline | INFO => 'Rules loaded for columns: ['id', 'email', 'amount', 'date', 'status']'
(2026-02-10 16:22:11,117) | excel_cleaning_pipeline | INFO => 'Discovered 1 file(s) to process.'
(2026-02-10 16:22:11,117) | excel_cleaning_pipeline | INFO => 'Loading file: ecommerce_orders_BIG.xlsx'
(2026-02-10 16:22:15,731) | excel_cleaning_pipeline | INFO => 'Loaded 50000 rows from ecommerce_orders_BIG.xlsx'
(2026-02-10 16:22:15,733) | excel_cleaning_pipeline | INFO => 'Processing file: ecommerce_orders_BIG.xlsx'
(2026-02-10 16:22:15,733) | excel_cleaning_pipeline | INFO => 'Starting schema alignment.'
(2026-02-10 16:22:15,734) | excel_cleaning_pipeline | INFO => 'Normalized columns: ['order_id', 'customer_email', 'order_date', 'amount', 'status', 'notes', 'source_file', 'load_time']'
(2026-02-10 16:22:15,735) | excel_cleaning_pipeline | INFO => 'Rename columns: ['id', 'email', 'date', 'amount', 'status', 'notes', 'source_file', 'processed_at']'
(2026-02-10 16:22:15,737) | excel_cleaning_pipeline | INFO => 'Schema alignment completed.'
(2026-02-10 16:22:15,738) | excel_cleaning_pipeline | INFO => 'Data validation started | Rows received: 50000'
(2026-02-10 16:22:15,742) | excel_cleaning_pipeline | INFO => 'Normalized columns: ['id', 'email', 'date', 'amount', 'status', 'notes', 'source_file', 'processed_at']'
(2026-02-10 16:22:16,054) | excel_cleaning_pipeline | INFO => 'Validation finished | Clean: 32674 | Rejected: 17326'
(2026-02-10 16:22:16,058) | excel_cleaning_pipeline | INFO => 'Processed | cleaned: 32674 | rejected: 17326 | '
(2026-02-10 16:22:21,427) | excel_cleaning_pipeline | INFO => 'Cleaned file written: d:\excel_cleaning\output\cleaned\cleaned_20260210_152216.xlsx'
(2026-02-10 16:22:24,688) | excel_cleaning_pipeline | INFO => 'Rejected file written: d:\excel_cleaning\output\rejected\rejected_20260210_152216.xlsx'
(2026-02-10 16:22:24,709) | excel_cleaning_pipeline | INFO => 'Report generated: d:\excel_cleaning\output\reports\report_20260210_152224.xlsx'
(2026-02-10 16:22:32,233) | excel_cleaning_pipeline | INFO => 'Email sent successfully with 3 attachment(s)'
(2026-02-10 16:22:32,235) | excel_cleaning_pipeline | INFO => 'Pipeline finished successfully'
